TOPIC	ITERATION	DOCUMENT	RELEVANCY
352_title	0	FT911-3246	1
352_title	0	FT911-4701	1
352_title	0	FT911-437	1
352_title	0	FT911-3618	1
352_title	0	FT911-3866	1
352_title	0	FT911-1087	1
352_title	0	FT911-3772	1
352_title	0	FT911-2267	1
352_title	0	FT911-1174	1
352_title	0	FT911-5179	1
352_title	0	FT911-4818	1
352_title	0	FT911-2332	1
352_title	0	FT911-3886	1
352_title	0	FT911-91	1
352_title	0	FT911-2549	1
352_title	0	FT911-4606	1
352_title	0	FT911-1582	1
352_title	0	FT911-1668	1
352_title	0	FT911-3053	1
352_title	0	FT911-2510	1
352_title	0	FT911-2751	1
352_title	0	FT911-3858	1
352_title	0	FT911-3710	1
352_title	0	FT911-1674	1
352_title	0	FT911-5072	1
352_title	0	FT911-2046	1
352_title	0	FT911-4339	1
352_title	0	FT911-4687	1
352_title	0	FT911-5027	1
352_title	0	FT911-417	1
352_title	0	FT911-1563	1
352_title	0	FT911-3106	1
352_title	0	FT911-2002	1
352_title	0	FT911-1768	1
352_title	0	FT911-2222	1
352_title	0	FT911-3387	1
352_title	0	FT911-2599	1
352_title	0	FT911-3673	1
352_title	0	FT911-2138	1
352_title	0	FT911-3651	1
352_title	0	FT911-2581	1
352_title	0	FT911-2154	1
352_title	0	FT911-1888	1
352_title	0	FT911-5096	1
352_title	0	FT911-4769	1
352_title	0	FT911-2281	1
352_title	0	FT911-1872	1
352_title	0	FT911-413	1
352_title	0	FT911-3132	1
352_title	0	FT911-4033	1
352_title	0	FT911-259	1
352_title	0	FT911-5356	1
352_title	0	FT911-519	1
352_title	0	FT911-3370	1
352_title	0	FT911-2832	1
352_title	0	FT911-2803	1
352_title	0	FT911-1194	1
352_title	0	FT911-2560	1
352_title	0	FT911-851	1
352_title	0	FT911-2093	1
352_title	0	FT911-4247	1
352_title	0	FT911-3923	1
352_title	0	FT911-63	1
352_title	0	FT911-3393	1
352_title	0	FT911-2005	1
352_title	0	FT911-2280	1
352_title	0	FT911-4561	1
352_title	0	FT911-4591	1
352_title	0	FT911-4762	1
352_title	0	FT911-2882	1
352_title	0	FT911-2874	1
352_title	0	FT911-2622	1
352_title	0	FT911-2306	1
352_title	0	FT911-900	1
352_title	0	FT911-1384	1
352_title	0	FT911-4569	1
352_title	0	FT911-4050	1
352_title	0	FT911-4948	1
352_title	0	FT911-2530	1
352_title	0	FT911-535	1
352_title	0	FT911-650	1
352_title	0	FT911-2635	1
352_title	0	FT911-3478	1
352_title	0	FT911-3708	1
352_title	0	FT911-4783	1
352_title	0	FT911-3059	1
352_title	0	FT911-801	1
352_title	0	FT911-39	1
352_title	0	FT911-2052	1
352_title	0	FT911-1462	1
352_title	0	FT911-2014	1
352_title	0	FT911-3278	1
352_title	0	FT911-279	1
352_title	0	FT911-4812	1
352_title	0	FT911-2934	1
352_title	0	FT911-1031	1
352_title	0	FT911-2095	1
352_title	0	FT911-3662	1
352_title	0	FT911-3605	1
352_title	0	FT911-4798	1
352_title	0	FT911-834	1
352_title	0	FT911-2931	1
352_title	0	FT911-5189	1
352_title	0	FT911-4345	1
352_title	0	FT911-1362	1
352_title	0	FT911-635	1
352_title	0	FT911-967	1
352_title	0	FT911-4665	1
352_title	0	FT911-705	1
352_title	0	FT911-4914	1
352_title	0	FT911-5153	1
352_title	0	FT911-910	1
352_title	0	FT911-4227	1
352_title	0	FT911-3922	1
352_title	0	FT911-3635	1
352_title	0	FT911-3133	1
352_title	0	FT911-3540	1
352_title	0	FT911-2584	1
352_title	0	FT911-328	1
352_title	0	FT911-1529	1
352_title	0	FT911-3522	1
352_title	0	FT911-5022	1
352_title	0	FT911-440	1
352_title	0	FT911-4321	1
352_title	0	FT911-4814	1
352_title	0	FT911-3432	1
352_title	0	FT911-3414	1
352_title	0	FT911-3561	1
352_title	0	FT911-951	1
352_title	0	FT911-331	1
352_title	0	FT911-1512	1
352_title	0	FT911-552	1
352_title	0	FT911-1857	1
352_title	0	FT911-3681	1
352_title	0	FT911-2580	1
352_title	0	FT911-3630	1
352_title	0	FT911-3345	1
352_title	0	FT911-338	1
352_title	0	FT911-4044	1
352_title	0	FT911-4125	1
352_title	0	FT911-1619	1
352_title	0	FT911-4348	1
352_title	0	FT911-4421	1
352_title	0	FT911-5249	1
352_title	0	FT911-2018	1
352_title	0	FT911-3535	1
352_title	0	FT911-3261	1
352_title	0	FT911-2876	1
352_title	0	FT911-4896	1
352_title	0	FT911-4821	1
352_title	0	FT911-3153	1
352_title	0	FT911-2756	1
352_title	0	FT911-1436	1
352_title	0	FT911-565	1
352_title	0	FT911-1901	1
352_title	0	FT911-2383	1
352_title	0	FT911-783	1
352_title	0	FT911-2767	1
352_title	0	FT911-2176	1
352_title	0	FT911-3947	1
352_title	0	FT911-4074	1
352_title	0	FT911-5019	1
352_title	0	FT911-1243	1
352_title	0	FT911-2451	1
352_title	0	FT911-4579	1
352_title	0	FT911-3700	1
352_title	0	FT911-3135	1
352_title	0	FT911-586	1
352_title	0	FT911-2779	1
352_title	0	FT911-2740	1
352_title	0	FT911-2718	1
352_title	0	FT911-555	1
352_title	0	FT911-2634	1
352_title	0	FT911-2192	1
352_title	0	FT911-1122	1
352_title	0	FT911-3052	1
352_title	0	FT911-5200	1
352_title	0	FT911-2569	1
352_title	0	FT911-4767	1
352_title	0	FT911-2407	1
352_title	0	FT911-3688	1
352_title	0	FT911-4009	1
352_title	0	FT911-3265	1
352_title	0	FT911-1102	1
352_title	0	FT911-2116	1
352_title	0	FT911-4438	1
352_title	0	FT911-4447	1
352_title	0	FT911-3149	1
352_title	0	FT911-306	1
352_title	0	FT911-721	1
352_title	0	FT911-478	1
352_title	0	FT911-2573	1
352_title	0	FT911-3933	1
352_title	0	FT911-1828	1
352_title	0	FT911-2201	1
352_title	0	FT911-4727	1
352_title	0	FT911-2948	1
352_title	0	FT911-3215	1
352_title	0	FT911-5063	1
352_title	0	FT911-1576	1
352_title	0	FT911-3905	1
352_title	0	FT911-908	1
352_title	0	FT911-857	1
352_title	0	FT911-5238	1
352_title	0	FT911-5098	1
352_title	0	FT911-4337	1
352_title	0	FT911-3269	1
352_title	0	FT911-3079	1
352_title	0	FT911-3349	1
352_title	0	FT911-3775	1
352_title	0	FT911-3767	1
352_title	0	FT911-2453	1
352_title	0	FT911-5085	1
352_title	0	FT911-4270	1
352_title	0	FT911-916	1
352_title	0	FT911-977	1
352_title	0	FT911-2054	1
352_title	0	FT911-1856	1
352_title	0	FT911-625	1
352_title	0	FT911-2289	1
352_title	0	FT911-3170	1
352_title	0	FT911-4636	1
352_title	0	FT911-4772	1
352_title	0	FT911-4120	1
352_title	0	FT911-2644	1
352_title	0	FT911-1766	1
352_title	0	FT911-3503	1
352_title	0	FT911-506	1
352_title	0	FT911-429	1
352_title	0	FT911-156	1
352_title	0	FT911-2461	1
352_title	0	FT911-2405	1
352_title	0	FT911-4641	1
352_title	0	FT911-2831	1
352_title	0	FT911-4119	1
352_title	0	FT911-1	1
352_title	0	FT911-1578	1
352_title	0	FT911-2919	1
352_title	0	FT911-1930	1
352_title	0	FT911-3091	1
352_title	0	FT911-3818	1
352_title	0	FT911-1360	1
352_title	0	FT911-2514	1
352_title	0	FT911-1918	1
352_title	0	FT911-3853	1
352_title	0	FT911-460	1
352_title	0	FT911-1488	1
352_title	0	FT911-4031	1
352_title	0	FT911-3157	1
352_title	0	FT911-4792	1
352_title	0	FT911-3521	1
352_title	0	FT911-2290	1
352_title	0	FT911-3753	1
352_title	0	FT911-787	1
352_title	0	FT911-1499	1
352_title	0	FT911-2828	1
352_title	0	FT911-3220	1
352_title	0	FT911-3534	1
352_title	0	FT911-4293	1
352_title	0	FT911-540	1
352_title	0	FT911-2540	1
352_title	0	FT911-1921	1
352_title	0	FT911-404	1
352_title	0	FT911-1892	1
352_title	0	FT911-4328	1
352_title	0	FT911-4311	1
352_title	0	FT911-4193	1
352_title	0	FT911-2300	1
352_title	0	FT911-3632	1
352_title	0	FT911-1666	1
352_title	0	FT911-5281	1
352_title	0	FT911-3641	1
352_title	0	FT911-680	1
352_title	0	FT911-4608	1
352_title	0	FT911-4362	1
352_title	0	FT911-4309	1
352_title	0	FT911-2929	1
352_title	0	FT911-3358	1
352_title	0	FT911-3339	1
352_title	0	FT911-2968	1
352_title	0	FT911-2145	1
352_title	0	FT911-4741	1
352_title	0	FT911-1986	1
352_title	0	FT911-659	1
352_title	0	FT911-399	1
