TOPIC	DOCUMENT	UNIQUE#	COSINE_VALUE
352_title	FT911-3246	1	0.20635501613870869
352_title	FT911-4701	2	0.17646024840664093
352_title	FT911-437	3	0.1539351678703274
352_title	FT911-3618	4	0.14210491916124837
352_title	FT911-3866	5	0.1353021867994525
352_title	FT911-1087	6	0.13333236982072227
352_title	FT911-3772	7	0.12440423369143476
352_title	FT911-2267	8	0.12333332934579527
352_title	FT911-1174	9	0.11162843261480475
352_title	FT911-5179	10	0.11015179726268842
352_title	FT911-4818	11	0.10951174362091866
352_title	FT911-2332	12	0.10747976364111637
352_title	FT911-3886	13	0.10733321388174126
352_title	FT911-91	14	0.1038709328701866
352_title	FT911-2549	15	0.10279790024845328
352_title	FT911-4606	16	0.1026244929389025
352_title	FT911-1582	17	0.10104833252378002
352_title	FT911-1668	18	0.09815562248334216
352_title	FT911-3053	19	0.09730021067684835
352_title	FT911-2510	20	0.09643520594875925
352_title	FT911-2751	21	0.09440903883725288
352_title	FT911-3858	22	0.09031199773348413
352_title	FT911-3710	23	0.08970673788917756
352_title	FT911-1674	24	0.08707252363626239
352_title	FT911-5072	25	0.0860848522547907
352_title	FT911-2046	26	0.08471791687650759
352_title	FT911-4339	27	0.08467039139325996
352_title	FT911-4687	28	0.08397939318740416
352_title	FT911-5027	29	0.0838126022863013
352_title	FT911-417	30	0.08367836205565823
352_title	FT911-1563	31	0.0821654695959332
352_title	FT911-3106	32	0.0798885380093656
352_title	FT911-2002	33	0.07864547454844902
352_title	FT911-1768	34	0.07850595746188332
352_title	FT911-2222	35	0.07777589466645989
352_title	FT911-3387	36	0.07776430161671727
352_title	FT911-2599	37	0.07656027528539915
352_title	FT911-3673	38	0.07639700929445753
352_title	FT911-2138	39	0.07579046341727118
352_title	FT911-3651	40	0.07571556530860735
352_title	FT911-2581	41	0.07569075437234057
352_title	FT911-2154	42	0.07548463542839912
352_title	FT911-1888	43	0.07514279680299295
352_title	FT911-5096	44	0.0741448125459972
352_title	FT911-4769	45	0.07324360087940741
352_title	FT911-2281	46	0.07296090561778569
352_title	FT911-1872	47	0.07290333525830765
352_title	FT911-413	48	0.07185686137290091
352_title	FT911-3132	49	0.07181743916516461
352_title	FT911-4033	50	0.06976504047568274
352_title	FT911-259	51	0.06949170011390988
352_title	FT911-5356	52	0.06897317197813894
352_title	FT911-519	53	0.06868001169004355
352_title	FT911-3370	54	0.06843057885593865
352_title	FT911-2832	55	0.06795126412337255
352_title	FT911-2803	56	0.06775307743666863
352_title	FT911-1194	57	0.06769069057401388
352_title	FT911-2560	58	0.06735985634994347
352_title	FT911-851	59	0.06725016929258115
352_title	FT911-2093	60	0.06719714024276116
352_title	FT911-4247	61	0.06676681632503706
352_title	FT911-3923	62	0.06640099180028503
352_title	FT911-63	63	0.06565668857141924
352_title	FT911-3393	64	0.06499925063558548
352_title	FT911-2005	65	0.064875764587306
352_title	FT911-2280	66	0.06426962960609683
352_title	FT911-4561	67	0.06417924291734228
352_title	FT911-4591	68	0.06359503528854087
352_title	FT911-4762	69	0.06357766201982441
352_title	FT911-2882	70	0.06278170354498368
352_title	FT911-2874	71	0.06186649578017312
352_title	FT911-2622	72	0.06145897281033161
352_title	FT911-2306	73	0.06128483039334248
352_title	FT911-900	74	0.0611723004728319
352_title	FT911-1384	75	0.06107323393979045
352_title	FT911-4569	76	0.0607556723856612
352_title	FT911-4050	77	0.060586310194345926
352_title	FT911-4948	78	0.06011993761986229
352_title	FT911-2530	79	0.05947882087874097
352_title	FT911-535	80	0.05929023984458698
352_title	FT911-650	81	0.058982538636230146
352_title	FT911-2635	82	0.058755682079914
352_title	FT911-3478	83	0.05859015538131746
352_title	FT911-3708	84	0.05840166238989053
352_title	FT911-4783	85	0.058376206743136955
352_title	FT911-3059	86	0.0582657608638036
352_title	FT911-801	87	0.05793348580481956
352_title	FT911-39	88	0.057825537367469905
352_title	FT911-2052	89	0.05762391245225983
352_title	FT911-1462	90	0.057498472063988455
352_title	FT911-2014	91	0.057412653903438124
352_title	FT911-3278	92	0.057319360176616554
352_title	FT911-279	93	0.05725770612426321
352_title	FT911-4812	94	0.057218769135942385
352_title	FT911-2934	95	0.05717384380776504
352_title	FT911-1031	96	0.05708769755748906
352_title	FT911-2095	97	0.057052448450474864
352_title	FT911-3662	98	0.05685355593598111
352_title	FT911-3605	99	0.05663244172141657
352_title	FT911-4798	100	0.05642224506667855
352_title	FT911-834	101	0.056213600033893814
352_title	FT911-2931	102	0.05593880351015088
352_title	FT911-5189	103	0.05593476821802806
352_title	FT911-4345	104	0.055873517506855874
352_title	FT911-1362	105	0.05557713741166035
352_title	FT911-635	106	0.054972238664189856
352_title	FT911-967	107	0.054726850467234835
352_title	FT911-4665	108	0.05471979204402044
352_title	FT911-705	109	0.054256860197749224
352_title	FT911-4914	110	0.053901964044846956
352_title	FT911-5153	111	0.05389193457813099
352_title	FT911-910	112	0.053821753238161504
352_title	FT911-4227	113	0.05378655989631503
352_title	FT911-3922	114	0.05377684627819318
352_title	FT911-3635	115	0.05363317527470412
352_title	FT911-3133	116	0.05353918116514232
352_title	FT911-3540	117	0.0534709428226498
352_title	FT911-2584	118	0.05339772864996833
352_title	FT911-328	119	0.053257318223225616
352_title	FT911-1529	120	0.053186599423410995
352_title	FT911-3522	121	0.05297395871793824
352_title	FT911-5022	122	0.052727877269751845
352_title	FT911-440	123	0.05267704468099353
352_title	FT911-4321	124	0.05264969997428248
352_title	FT911-4814	125	0.05255475418980554
352_title	FT911-3432	126	0.05255313266860656
352_title	FT911-3414	127	0.052542192879386294
352_title	FT911-3561	128	0.05247998520383502
352_title	FT911-951	129	0.05219719508484487
352_title	FT911-331	130	0.05212122072553321
352_title	FT911-1512	131	0.05194041084216959
352_title	FT911-552	132	0.05177559996245338
352_title	FT911-1857	133	0.051603721050833086
352_title	FT911-3681	134	0.05153966549002114
352_title	FT911-2580	135	0.05128777146855884
352_title	FT911-3630	136	0.05126038325212582
352_title	FT911-3345	137	0.051141846295101635
352_title	FT911-338	138	0.050756382194384816
352_title	FT911-4044	139	0.05035609505169547
352_title	FT911-4125	140	0.05035224298325444
352_title	FT911-1619	141	0.05023283988420439
352_title	FT911-4348	142	0.049930706757613234
352_title	FT911-4421	143	0.04990189430157853
352_title	FT911-5249	144	0.049768447373620454
352_title	FT911-2018	145	0.04963139035887414
352_title	FT911-3535	146	0.049504365620692395
352_title	FT911-3261	147	0.04948845654689546
352_title	FT911-2876	148	0.04946277170854509
352_title	FT911-4896	149	0.04935209604597908
352_title	FT911-4821	150	0.049047313339858616
352_title	FT911-3153	151	0.048853091499279945
352_title	FT911-2756	152	0.04878938296824822
352_title	FT911-1436	153	0.04878920164390827
352_title	FT911-565	154	0.048758990049012664
352_title	FT911-1901	155	0.04810634071469816
352_title	FT911-2383	156	0.04797397659317746
352_title	FT911-783	157	0.04795421912835724
352_title	FT911-2767	158	0.047944488161057834
352_title	FT911-2176	159	0.04770964015928344
352_title	FT911-3947	160	0.04721238200913158
352_title	FT911-4074	161	0.04719807833559059
352_title	FT911-5019	162	0.047171170046265566
352_title	FT911-1243	163	0.047150877502822215
352_title	FT911-2451	164	0.04712311498254134
352_title	FT911-4579	165	0.04701153443576411
352_title	FT911-3700	166	0.04695568862464958
352_title	FT911-3135	167	0.04687615325037843
352_title	FT911-586	168	0.046708338987544167
352_title	FT911-2779	169	0.04639976909648926
352_title	FT911-2740	170	0.04620666031787809
352_title	FT911-2718	171	0.046140850953815364
352_title	FT911-555	172	0.04606341660432343
352_title	FT911-2634	173	0.04594731214468725
352_title	FT911-2192	174	0.045818015470823294
352_title	FT911-1122	175	0.04580604009042299
352_title	FT911-3052	176	0.045304418857633304
352_title	FT911-5200	177	0.04475433210735796
352_title	FT911-2569	178	0.04469221768919253
352_title	FT911-4767	179	0.04459574383289749
352_title	FT911-2407	180	0.04459332740754969
352_title	FT911-3688	181	0.0445751116735145
352_title	FT911-4009	182	0.04445769844085632
352_title	FT911-3265	183	0.04436623284988715
352_title	FT911-1102	184	0.04435755675767587
352_title	FT911-2116	185	0.04420919682781906
352_title	FT911-4438	186	0.044019577378564455
352_title	FT911-4447	187	0.043983285545492565
352_title	FT911-3149	188	0.043804582974774874
352_title	FT911-306	189	0.04375108368227983
352_title	FT911-721	190	0.043663228011958904
352_title	FT911-478	191	0.04360181147211499
352_title	FT911-2573	192	0.04356283887375093
352_title	FT911-3933	193	0.04338148191149441
352_title	FT911-1828	194	0.043081235435304156
352_title	FT911-2201	195	0.04305755059557487
352_title	FT911-4727	196	0.042803124921169784
352_title	FT911-2948	197	0.04276186792055966
352_title	FT911-3215	198	0.042648345395983084
352_title	FT911-5063	199	0.04260161469310534
352_title	FT911-1576	200	0.042574069528624185
352_title	FT911-3905	201	0.04256566418363071
352_title	FT911-908	202	0.04246310011742808
352_title	FT911-857	203	0.04245784826702595
352_title	FT911-5238	204	0.0424497391658571
352_title	FT911-5098	205	0.04241322834608505
352_title	FT911-4337	206	0.04206343156719127
352_title	FT911-3269	207	0.04196771687889411
352_title	FT911-3079	208	0.041559705310896394
352_title	FT911-3349	209	0.041488385818551306
352_title	FT911-3775	210	0.041469438105204225
352_title	FT911-3767	211	0.04146469602638566
352_title	FT911-2453	212	0.041348152007397436
352_title	FT911-5085	213	0.04117734095442978
352_title	FT911-4270	214	0.04117556520664206
352_title	FT911-916	215	0.04110806925123154
352_title	FT911-977	216	0.04109855781601605
352_title	FT911-2054	217	0.04105571971452668
352_title	FT911-1856	218	0.04095314589403376
352_title	FT911-625	219	0.0407744763515348
352_title	FT911-2289	220	0.04072918015884959
352_title	FT911-3170	221	0.04036506785706516
352_title	FT911-4636	222	0.04036271102999641
352_title	FT911-4772	223	0.040207479855286304
352_title	FT911-4120	224	0.03983586159053329
352_title	FT911-2644	225	0.0398083213614121
352_title	FT911-1766	226	0.03976001878065188
352_title	FT911-3503	227	0.03966721211502834
352_title	FT911-506	228	0.039642500594275404
352_title	FT911-429	229	0.03959799784761585
352_title	FT911-156	230	0.03949631899316591
352_title	FT911-2461	231	0.0393521452377359
352_title	FT911-2405	232	0.039176914202424785
352_title	FT911-4641	233	0.03902365134804842
352_title	FT911-2831	234	0.03899221746458579
352_title	FT911-4119	235	0.0389006211608101
352_title	FT911-1	236	0.03867011540520769
352_title	FT911-1578	237	0.03863256435465349
352_title	FT911-2919	238	0.038629116188485337
352_title	FT911-1930	239	0.03862852091180972
352_title	FT911-3091	240	0.038553983674776963
352_title	FT911-3818	241	0.03853989179704986
352_title	FT911-1360	242	0.03851886875057445
352_title	FT911-2514	243	0.03840046466987133
352_title	FT911-1918	244	0.038274071211664706
352_title	FT911-3853	245	0.03826931203073237
352_title	FT911-460	246	0.03813011361131099
352_title	FT911-1488	247	0.038059103423802476
352_title	FT911-4031	248	0.03804604184997804
352_title	FT911-3157	249	0.03760677933678109
352_title	FT911-4792	250	0.037548314269734206
352_title	FT911-3521	251	0.03739619916970448
352_title	FT911-2290	252	0.03728294741873302
352_title	FT911-3753	253	0.037160093241795165
352_title	FT911-787	254	0.03711613840272549
352_title	FT911-1499	255	0.03708879048212286
352_title	FT911-2828	256	0.036998790393505177
352_title	FT911-3220	257	0.036920311638918936
352_title	FT911-3534	258	0.0367039778929772
352_title	FT911-4293	259	0.03667304592659649
352_title	FT911-540	260	0.036644900097036144
352_title	FT911-2540	261	0.03662815155537796
352_title	FT911-1921	262	0.036565143652232596
352_title	FT911-404	263	0.03653549739546878
352_title	FT911-1892	264	0.036524437720059776
352_title	FT911-4328	265	0.0364396431640018
352_title	FT911-4311	266	0.03640949692008155
352_title	FT911-4193	267	0.03625198800425945
352_title	FT911-2300	268	0.036213930954106965
352_title	FT911-3632	269	0.03607094452844335
352_title	FT911-1666	270	0.03599786028563158
352_title	FT911-5281	271	0.03587089573495172
352_title	FT911-3641	272	0.03580776507494703
352_title	FT911-680	273	0.03579656596195131
352_title	FT911-4608	274	0.035742829232582575
352_title	FT911-4362	275	0.03566811091478405
352_title	FT911-4309	276	0.035598782601057165
352_title	FT911-2929	277	0.03557164883000295
352_title	FT911-3358	278	0.0354248850549208
352_title	FT911-3339	279	0.03514687276522768
352_title	FT911-2968	280	0.035032514524506723
352_title	FT911-2145	281	0.03498626757427212
352_title	FT911-4741	282	0.034980851213271616
352_title	FT911-1986	283	0.034925155684285634
352_title	FT911-659	284	0.034726960794337076
352_title	FT911-399	285	0.03443026090090731
352_title	FT911-563	286	0.034265753642849
352_title	FT911-3241	287	0.03416440257249412
352_title	FT911-2621	288	0.034094889469521036
352_title	FT911-125	289	0.0340917209063578
352_title	FT911-3938	290	0.034039565796193515
352_title	FT911-3727	291	0.0340375607232355
352_title	FT911-5353	292	0.034032920392150355
352_title	FT911-182	293	0.03402908802003324
352_title	FT911-1062	294	0.034012452123546554
352_title	FT911-4816	295	0.034005756176515065
352_title	FT911-4381	296	0.03399578400253015
352_title	FT911-3191	297	0.03387974202414224
352_title	FT911-3761	298	0.03380181863789367
352_title	FT911-281	299	0.033736469412623885
352_title	FT911-2616	300	0.03362437406056948
352_title	FT911-1712	301	0.033561478268730134
352_title	FT911-3259	302	0.03349244304823671
352_title	FT911-4067	303	0.03341688213746556
352_title	FT911-5245	304	0.03324141650950808
352_title	FT911-1067	305	0.03320078629290066
352_title	FT911-791	306	0.03310908673608889
352_title	FT911-4019	307	0.03290903059802205
352_title	FT911-4372	308	0.032893367391585056
352_title	FT911-4649	309	0.03286940183201613
352_title	FT911-433	310	0.0327907401013738
352_title	FT911-2572	311	0.03273824826106882
352_title	FT911-1260	312	0.032716118944997284
352_title	FT911-3786	313	0.03257694901011396
352_title	FT911-4961	314	0.03251810873195195
352_title	FT911-2723	315	0.032486996318797076
352_title	FT911-533	316	0.032475097942511355
352_title	FT911-1222	317	0.03226077779049797
352_title	FT911-4784	318	0.03213765509072639
352_title	FT911-2387	319	0.0319452305986676
352_title	FT911-1065	320	0.03188196739818598
352_title	FT911-530	321	0.03184193899586716
352_title	FT911-4164	322	0.03183744163251385
352_title	FT911-2180	323	0.031779843722032346
352_title	FT911-1491	324	0.03177865018520147
352_title	FT911-854	325	0.031738459263903736
352_title	FT911-3169	326	0.03158410118523141
352_title	FT911-4595	327	0.031501487733113294
352_title	FT911-1089	328	0.03145223489430168
352_title	FT911-3910	329	0.03116301407540873
352_title	FT911-5319	330	0.03109968575583486
352_title	FT911-4668	331	0.031093364633196584
352_title	FT911-2798	332	0.03104378871996959
352_title	FT911-3745	333	0.030888746082345014
352_title	FT911-4479	334	0.030819868669008894
352_title	FT911-3104	335	0.030816836075995602
352_title	FT911-664	336	0.030721862212794868
352_title	FT911-794	337	0.030612689543079396
352_title	FT911-3254	338	0.03059654085639166
352_title	FT911-2971	339	0.030505271783447804
352_title	FT911-4588	340	0.030498905977709084
352_title	FT911-2107	341	0.030483825737450718
352_title	FT911-4036	342	0.030447830750554558
352_title	FT911-3638	343	0.03034057283483517
352_title	FT911-352	344	0.0302867954193907
352_title	FT911-95	345	0.03028274738346466
352_title	FT911-765	346	0.03024875368760836
352_title	FT911-4958	347	0.03022472932000246
352_title	FT911-3751	348	0.03013347520013111
352_title	FT911-1941	349	0.03011090921226969
352_title	FT911-2292	350	0.03007245053907024
352_title	FT911-4564	351	0.02993944711261426
352_title	FT911-4017	352	0.029906438592212745
352_title	FT911-746	353	0.029844192143468437
352_title	FT911-870	354	0.029800246853280893
352_title	FT911-265	355	0.0297532953082008
352_title	FT911-105	356	0.029660025568780175
352_title	FT911-982	357	0.029612767655351507
352_title	FT911-802	358	0.02955642762855654
352_title	FT911-335	359	0.029407447916363485
352_title	FT911-277	360	0.02940538293537109
352_title	FT911-5246	361	0.029385075541499547
352_title	FT911-251	362	0.029350553246232133
352_title	FT911-2388	363	0.029236185051405426
352_title	FT911-4887	364	0.029235172899845743
352_title	FT911-3493	365	0.029195832900143187
352_title	FT911-2672	366	0.029158249838719192
352_title	FT911-2271	367	0.029141792854215143
352_title	FT911-5332	368	0.02911945952154385
352_title	FT911-1066	369	0.029070923221463464
352_title	FT911-2179	370	0.02905429572633558
352_title	FT911-2916	371	0.02879593193954505
352_title	FT911-4040	372	0.028771009053131555
352_title	FT911-289	373	0.028745405597535148
352_title	FT911-4620	374	0.028735497140753817
352_title	FT911-4216	375	0.028611708938517298
352_title	FT911-1325	376	0.02856756804272217
352_title	FT911-3733	377	0.028566263759219813
352_title	FT911-3949	378	0.028420919251424048
352_title	FT911-3867	379	0.028319165371889395
352_title	FT911-1297	380	0.028284858961374358
352_title	FT911-1318	381	0.028281309379775053
352_title	FT911-1261	382	0.028097166351546563
352_title	FT911-5269	383	0.027956446459835558
352_title	FT911-419	384	0.0278024303731209
352_title	FT911-5074	385	0.027735632545575643
352_title	FT911-3491	386	0.027533785617367267
352_title	FT911-3302	387	0.02751550438356523
352_title	FT911-2763	388	0.02742055988589606
352_title	FT911-3975	389	0.027375106832998826
352_title	FT911-1198	390	0.02733432375388875
352_title	FT911-3372	391	0.027202039221846202
352_title	FT911-137	392	0.02718334054334521
352_title	FT911-3833	393	0.027141003399774953
352_title	FT911-2205	394	0.027077750128415606
352_title	FT911-4836	395	0.026958783284232932
352_title	FT911-2457	396	0.02691753834348951
352_title	FT911-3966	397	0.026845271511853737
352_title	FT911-738	398	0.026832291932185746
352_title	FT911-1247	399	0.026728928437278112
352_title	FT911-341	400	0.026671523265710557
352_title	FT911-4786	401	0.026605733045400995
352_title	FT911-4841	402	0.02660239718850806
